
('cs-vn-1001', '65 Lê Lợi, Phường Bến Nghé', 'Quận 1', 1, 'cpo-vgreen', 'Trạm sạc Vincom Center', 10.7778, 106.7022),
('cs-vn-1052', '101 Tôn Dật Tiên, Phường Tân Phú', 'Quận 7', 1, 'cpo-eboost', 'Trạm sạc Crescent Mall', 10.7294, 106.7169),
('cs-vn-1053', '73 Hoàng Văn Thái, Phường Tân Phú', 'Quận 7', 1, 'cpo-eboost', 'Trạm sạc SECC', 10.7321, 106.7211),
('cs-vn-1054', '12 Tân Trào, Phường Tân Phú', 'Quận 7', 1, 'cpo-datbike', 'Trạm sạc Vinamilk Tower', 10.7324, 106.7181),
('cs-vn-1055', '300 Nguyễn Thị Thập, Phường Tân Quy', 'Quận 7', 0, 'cpo-vgreen', 'Trạm sạc Lotte Mart Q7', 10.7405, 106.7001),
('cs-vn-1056', '15 Hoàng Quốc Việt, Phường Phú Thuận', 'Quận 7', 1, 'cpo-datbike', 'Trạm sạc La Casa', 10.7251, 106.7302),
('cs-vn-1057', '80 Huỳnh Tấn Phát, Phường Tân Thuận Tây', 'Quận 7', 1, 'cpo-vgreen', 'Trạm sạc KCX Tân Thuận', 10.7551, 106.7255),
('cs-vn-1058', '500 Nguyễn Hữu Thọ, Phường Tân Hưng', 'Quận 7', 1, 'cpo-eboost', 'Trạm sạc Sunrise City', 10.7412, 106.6985),
('cs-vn-1059', '1 Đường D4, Phường Tân Hưng', 'Quận 7', 0, 'cpo-eboost', 'Trạm sạc Him Lam', 10.7435, 106.6941),
('cs-vn-1060', '15 Nguyễn Lương Bằng, Phường Tân Phú', 'Quận 7', 1, 'cpo-datbike', 'Trạm sạc Paragon', 10.7305, 106.7201),
('cs-vn-1061', '68 Nguyễn Lương Bằng, Phường Tân Phú', 'Quận 7', 1, 'cpo-vgreen', 'Trạm sạc TTTM Nam Sài Gòn', 10.7255, 106.7235),
('cs-vn-1062', '20 Phạm Thái Bường, Phường Tân Phong', 'Quận 7', 1, 'cpo-vgreen', 'Trạm sạc Mỹ Toàn', 10.7281, 106.7081),
('cs-vn-1063', '85 Nguyễn Thái Học, Phường Tân Thuận Đông', 'Quận 7', 0, 'cpo-datbike', 'Trạm sạc Cầu Tân Thuận', 10.7581, 106.7351),
('cs-vn-1064', '9A Lâm Văn Bền, Phường Tân Kiểng', 'Quận 7', 1, 'cpo-vgreen', 'Trạm sạc Chợ Tân Mỹ', 10.7451, 106.7121),
('cs-vn-1065', '112 Trần Trọng Cung, Phường Tân Thuận Đông', 'Quận 7', 1, 'cpo-eboost', 'Trạm sạc Nam Long', 10.7485, 106.7355),
('cs-vn-1066', '35 Đào Trí, Phường Phú Thuận', 'Quận 7', 1, 'cpo-eboost', 'Trạm sạc Q7 Boulevard', 10.7215, 106.7355),
('cs-vn-1067', '40 Phú Thuận, Phường Phú Thuận', 'Quận 7', 1, 'cpo-vgreen', 'Trạm sạc Mũi Đèn Đỏ', 10.7201, 106.7401),

-- KHU VỰC QUẬN 10
('cs-vn-1068', '11 Sư Vạnh Hạnh, Phường 12', 'Quận 10', 1, 'cpo-vgreen', 'Trạm sạc Vạn Hạnh Mall', 10.7753, 106.6675),
('cs-vn-1069', '828 Sư Vạn Hạnh, Phường 13', 'Quận 10', 1, 'cpo-eboost', 'Trạm sạc Bệnh Viện 115', 10.7785, 106.6655),
('cs-vn-1070', '285 Cách Mạng Tháng 8, Phường 12', 'Quận 10', 1, 'cpo-eboost', 'Trạm sạc Viettel Complex', 10.7788, 106.6781),
('cs-vn-1071', '134 Thành Thái, Phường 12', 'Quận 10', 0, 'cpo-datbike', 'Trạm sạc UBND Q10', 10.7715, 106.6631),
('cs-vn-1072', '3/2, Phường 12', 'Quận 10', 1, 'cpo-vgreen', 'Trạm sạc Maximark 3/2', 10.7725, 106.6721),
('cs-vn-1073', '163 Tô Hiến Thành, Phường 13', 'Quận 10', 1, 'cpo-datbike', 'Trạm sạc Big C Miền Đông', 10.7791, 106.6685),
('cs-vn-1074', '254 Hòa Hảo, Phường 4', 'Quận 10', 1, 'cpo-vgreen', 'Trạm sạc Chợ Nhật Tảo', 10.7615, 106.6651),
('cs-vn-1075', '412 Nguyễn Tri Phương, Phường 4', 'Quận 10', 1, 'cpo-eboost', 'Trạm sạc Đại học Kinh Tế', 10.7621, 106.6681),
('cs-vn-1076', '120 Lý Thái Tổ, Phường 2', 'Quận 10', 0, 'cpo-eboost', 'Trạm sạc Ngã Bảy', 10.7655, 106.6755),
('cs-vn-1077', '601 Cách Mạng Tháng 8, Phường 15', 'Quận 10', 1, 'cpo-datbike', 'Trạm sạc Công viên Lê Thị Riêng', 10.7851, 106.6621),
('cs-vn-1078', '70 Lữ Gia, Phường 15', 'Quận 10', 1, 'cpo-vgreen', 'Trạm sạc Nhà Thi Đấu Lữ Gia', 10.7721, 106.6551),
('cs-vn-1079', '100 Cửu Long, Phường 15', 'Quận 10', 1, 'cpo-vgreen', 'Trạm sạc Cư Xá Bắc Hải', 10.7815, 106.6611),
('cs-vn-1080', '299 Nguyễn Ngọc Lộc, Phường 14', 'Quận 10', 0, 'cpo-datbike', 'Trạm sạc Nguyễn Ngọc Lộc', 10.7681, 106.6621),
('cs-vn-1081', '350 Ngô Gia Tự, Phường 4', 'Quận 10', 1, 'cpo-vgreen', 'Trạm sạc Vòng xoay Nguyễn Tri Phương', 10.7601, 106.6701),
('cs-vn-1082', '201 Nguyễn Chí Thanh, Phường 12', 'Quận 10', 1, 'cpo-eboost', 'Trạm sạc Bệnh Viện Chợ Rẫy (Cổng phụ)', 10.7585, 106.6605),
('cs-vn-1083', '15 Ba Vì, Phường 15', 'Quận 10', 1, 'cpo-eboost', 'Trạm sạc Cư xá Đồng Tiến', 10.7751, 106.6611),

-- KHU VỰC TP. THỦ ĐỨC
('cs-vn-1084', '242 Phạm Văn Đồng, Phường Hiệp Bình Chánh', 'Thủ Đức', 1, 'cpo-vgreen', 'Trạm sạc Gigamall', 10.8281, 106.7172),
('cs-vn-1085', '159 Xa lộ Hà Nội, Phường Thảo Điền', 'Thủ Đức', 1, 'cpo-eboost', 'Trạm sạc Masteri Thảo Điền', 10.8031, 106.7431),
('cs-vn-1086', '161 Xa lộ Hà Nội, Phường An Phú', 'Thủ Đức', 1, 'cpo-eboost', 'Trạm sạc Estella Place', 10.8005, 106.7451),
('cs-vn-1087', '9 Võ Văn Ngân, Phường Linh Chiểu', 'Thủ Đức', 1, 'cpo-datbike', 'Trạm sạc Vincom Thủ Đức', 10.8501, 106.7564),
('cs-vn-1088', '50 Lê Văn Việt, Phường Hiệp Phú', 'Thủ Đức', 1, 'cpo-vgreen', 'Trạm sạc Vincom Lê Văn Việt', 10.8451, 106.7824),
('cs-vn-1089', '1 Song Hành, Phường Tân Phú', 'Thủ Đức', 1, 'cpo-datbike', 'Trạm sạc Suối Tiên', 10.8654, 106.8011),
('cs-vn-1090', '360 Xa lộ Hà Nội, Phường Phước Long A', 'Thủ Đức', 0, 'cpo-vgreen', 'Trạm sạc Centum Wealth', 10.8281, 106.7634),
('cs-vn-1091', '12 Quốc Hương, Phường Thảo Điền', 'Thủ Đức', 1, 'cpo-eboost', 'Trạm sạc Q2 Thảo Điền', 10.8041, 106.7367),
('cs-vn-1092', '216 Võ Văn Ngân, Phường Bình Thọ', 'Thủ Đức', 0, 'cpo-eboost', 'Trạm sạc Nguyễn Kim', 10.8494, 106.7587),
('cs-vn-1093', '252 Nguyễn Văn Hưởng, Phường Thảo Điền', 'Thủ Đức', 1, 'cpo-datbike', 'Trạm sạc Tropic Garden', 10.8124, 106.7351),
('cs-vn-1094', '190 Nguyễn Văn Hưởng, Phường Thảo Điền', 'Thủ Đức', 1, 'cpo-vgreen', 'Trạm sạc Thảo Điền Pearl', 10.8067, 106.7324),
('cs-vn-1095', '1 Đại lộ Vòng Cung, Phường An Khánh', 'Thủ Đức', 1, 'cpo-vgreen', 'Trạm sạc Khu Đô Thị Sala', 10.7701, 106.7201),
('cs-vn-1096', '50 Mai Chí Thọ, Phường An Phú', 'Thủ Đức', 1, 'cpo-datbike', 'Trạm sạc Lexington', 10.7951, 106.7501),
('cs-vn-1097', '120 Kha Vạn Cân, Phường Hiệp Bình Chánh', 'Thủ Đức', 1, 'cpo-vgreen', 'Trạm sạc Chợ Bình Triệu', 10.8301, 106.7201),
('cs-vn-1098', '85 Đặng Văn Bi, Phường Bình Thọ', 'Thủ Đức', 1, 'cpo-eboost', 'Trạm sạc Moonlight Residences', 10.8385, 106.7621),
('cs-vn-1099', '200 Nguyễn Duy Trinh, Phường Bình Trưng Tây', 'Thủ Đức', 0, 'cpo-eboost', 'Trạm sạc Homyland', 10.7885, 106.7681),
('cs-vn-1100', '15 Trần Não, Phường Bình An', 'Thủ Đức', 1, 'cpo-vgreen', 'Trạm sạc Trần Não', 10.7955, 106.7301),

-- KHU VỰC TÂN BÌNH 
('cs-vn-1101', 'Cộng Hòa, Phường 12', 'Tân Bình', 1, 'cpo-vgreen', 'Trạm sạc Pico Plaza', 10.8014, 106.6501),
('cs-vn-1102', 'Trường Sơn, Phường 2', 'Tân Bình', 1, 'cpo-eboost', 'Trạm sạc Sân bay Tân Sơn Nhất', 10.8141, 106.6654),
('cs-vn-1103', '104 Phổ Quang, Phường 2', 'Tân Bình', 1, 'cpo-eboost', 'Trạm sạc Sky Center', 10.8074, 106.6681),
('cs-vn-1104', '364 Cộng Hòa, Phường 13', 'Tân Bình', 1, 'cpo-datbike', 'Trạm sạc E-Town', 10.8025, 106.6425),
('cs-vn-1105', '431 Hoàng Văn Thụ, Phường 4', 'Tân Bình', 0, 'cpo-vgreen', 'Trạm sạc Vincom VCC', 10.7961, 106.6565),
('cs-vn-1106', '200 Lý Thường Kiệt, Phường 9', 'Tân Bình', 1, 'cpo-datbike', 'Trạm sạc Chợ Tân Bình', 10.7851, 106.6531),
('cs-vn-1107', '141 Bàu Cát, Phường 14', 'Tân Bình', 1, 'cpo-vgreen', 'Trạm sạc Bàu Cát', 10.7951, 106.6451),
('cs-vn-1108', '2 Hoàng Việt, Phường 4', 'Tân Bình', 1, 'cpo-eboost', 'Trạm sạc Đệ Nhất Hotel', 10.7965, 106.6581),
('cs-vn-1109', '60A Trường Sơn, Phường 2', 'Tân Bình', 0, 'cpo-eboost', 'Trạm sạc Menas Mall', 10.8115, 106.6645),
('cs-vn-1110', '1 Trường Chinh, Phường 11', 'Tân Bình', 1, 'cpo-datbike', 'Trạm sạc Ngã Tư Bảy Hiền', 10.7925, 106.6551),
('cs-vn-1111', '97A Phó Cơ Điều, Phường 3', 'Tân Bình', 1, 'cpo-vgreen', 'Trạm sạc Chợ Phạm Văn Hai', 10.7941, 106.6635),
('cs-vn-1112', '248 Phổ Quang, Phường 2', 'Tân Bình', 1, 'cpo-vgreen', 'Trạm sạc Botanica Premier', 10.8121, 106.6651),
('cs-vn-1113', '10 Phổ Quang, Phường 2', 'Tân Bình', 0, 'cpo-datbike', 'Trạm sạc Tân Sơn Nhất Hotel', 10.8055, 106.6711),
('cs-vn-1114', '54B Lạc Long Quân, Phường 9', 'Tân Bình', 1, 'cpo-vgreen', 'Trạm sạc Lạc Long Quân', 10.7821, 106.6521),
('cs-vn-1115', '15 Âu Cơ, Phường 14', 'Tân Bình', 1, 'cpo-eboost', 'Trạm sạc Vòng Xoay Lê Đại Hành', 10.7785, 106.6515),
('cs-vn-1116', '30 Phan Đình Giót, Phường 2', 'Tân Bình', 1, 'cpo-eboost', 'Trạm sạc Ký túc xá CĐ Kỹ Thuật', 10.8035, 106.6675),

-- KHU VỰC PHÚ NHUẬN
('cs-vn-1117', '194 Hoàng Văn Thụ, Phường 9', 'Phú Nhuận', 1, 'cpo-vgreen', 'Trạm sạc White Palace', 10.8001, 106.6784),
('cs-vn-1118', '106 Nguyễn Văn Trỗi, Phường 8', 'Phú Nhuận', 1, 'cpo-eboost', 'Trạm sạc Centre Point', 10.7965, 106.6805),
('cs-vn-1119', '48 Hoa Sứ, Phường 7', 'Phú Nhuận', 1, 'cpo-datbike', 'Trạm sạc Co.opmart Rạch Miễu', 10.7985, 106.6881),
('cs-vn-1120', '119 Phổ Quang, Phường 9', 'Phú Nhuận', 0, 'cpo-vgreen', 'Trạm sạc Golden Mansion', 10.8101, 106.6754),
('cs-vn-1121', '8 Hoàng Minh Giám, Phường 9', 'Phú Nhuận', 1, 'cpo-eboost', 'Trạm sạc Orchard Garden', 10.8124, 106.6781),
('cs-vn-1122', '128 Phan Đăng Lưu, Phường 3', 'Phú Nhuận', 1, 'cpo-datbike', 'Trạm sạc Ngã Tư Phú Nhuận', 10.8025, 106.6841),
('cs-vn-1123', '253 Nguyễn Văn Trỗi, Phường 10', 'Phú Nhuận', 1, 'cpo-vgreen', 'Trạm sạc Movenpick Hotel', 10.7951, 106.6755),
('cs-vn-1124', '130 Nguyễn Đình Chính, Phường 8', 'Phú Nhuận', 1, 'cpo-eboost', 'Trạm sạc Nguyễn Đình Chính', 10.7935, 106.6791),
('cs-vn-1125', '261 Huỳnh Văn Bánh, Phường 12', 'Phú Nhuận', 0, 'cpo-eboost', 'Trạm sạc Huỳnh Văn Bánh', 10.7921, 106.6741),
('cs-vn-1126', '163 Lê Văn Sỹ, Phường 13', 'Phú Nhuận', 1, 'cpo-datbike', 'Trạm sạc Chợ Nguyễn Văn Trỗi', 10.7895, 106.6731),
('cs-vn-1127', '90 Phan Đình Phùng, Phường 2', 'Phú Nhuận', 1, 'cpo-vgreen', 'Trạm sạc Phan Đình Phùng', 10.7955, 106.6875),
('cs-vn-1128', '117 Phổ Quang, Phường 9', 'Phú Nhuận', 1, 'cpo-vgreen', 'Trạm sạc NovaWorld Centre', 10.8114, 106.6761),
('cs-vn-1129', '15 Thích Quảng Đức, Phường 4', 'Phú Nhuận', 0, 'cpo-datbike', 'Trạm sạc Chùa Vạn Hạnh', 10.8081, 106.6851),
('cs-vn-1130', '52 Nguyễn Kiệm, Phường 4', 'Phú Nhuận', 1, 'cpo-vgreen', 'Trạm sạc Vòng xoay Phạm Văn Đồng', 10.8125, 106.6821),
('cs-vn-1131', '30 Phùng Văn Cung, Phường 7', 'Phú Nhuận', 1, 'cpo-eboost', 'Trạm sạc Phùng Văn Cung', 10.8015, 106.6855),
('cs-vn-1132', '1A Cầm Bá Thước, Phường 7', 'Phú Nhuận', 1, 'cpo-eboost', 'Trạm sạc Cầm Bá Thước', 10.8005, 106.6885),

-- KHU VỰC GÒ VẤP 
('cs-vn-1133', '366 Phan Văn Trị, Phường 5', 'Gò Vấp', 1, 'cpo-vgreen', 'Trạm sạc Emart Gò Vấp', 10.8251, 106.6881),
('cs-vn-1134', '190 Quang Trung, Phường 10', 'Gò Vấp', 1, 'cpo-eboost', 'Trạm sạc Vincom Quang Trung', 10.8305, 106.6655),
('cs-vn-1135', '242 Nguyễn Văn Lượng, Phường 10', 'Gò Vấp', 1, 'cpo-eboost', 'Trạm sạc Lotte Mart Gò Vấp', 10.8365, 106.6685),
('cs-vn-1136', '18 Phan Văn Trị, Phường 10', 'Gò Vấp', 1, 'cpo-datbike', 'Trạm sạc Cityland Park Hills', 10.8315, 106.6661),
('cs-vn-1137', '1 Nguyễn Oanh, Phường 10', 'Gò Vấp', 0, 'cpo-vgreen', 'Trạm sạc Ngã 6 Gò Vấp', 10.8255, 106.6781),
('cs-vn-1138', '12 Quang Trung, Phường 11', 'Gò Vấp', 1, 'cpo-datbike', 'Trạm sạc Chợ Hạnh Thông Tây', 10.8421, 106.6541),
('cs-vn-1139', '15 Nguyễn Thái Sơn, Phường 4', 'Gò Vấp', 1, 'cpo-vgreen', 'Trạm sạc Bệnh Viện 175', 10.8185, 106.6805),
('cs-vn-1140', '300 Lê Đức Thọ, Phường 15', 'Gò Vấp', 1, 'cpo-eboost', 'Trạm sạc Lê Đức Thọ', 10.8455, 106.6685),
('cs-vn-1141', '10 Phạm Văn Đồng, Phường 3', 'Gò Vấp', 0, 'cpo-eboost', 'Trạm sạc Vòng Xoay Công Viên Gia Định', 10.8155, 106.6785),
('cs-vn-1142', '55 Thống Nhất, Phường 11', 'Gò Vấp', 1, 'cpo-datbike', 'Trạm sạc Thống Nhất', 10.8351, 106.6581),
('cs-vn-1143', '102 Dương Quảng Hàm, Phường 5', 'Gò Vấp', 1, 'cpo-vgreen', 'Trạm sạc Dương Quảng Hàm', 10.8285, 106.6851),
('cs-vn-1144', '45 Phạm Huy Thông, Phường 6', 'Gò Vấp', 1, 'cpo-vgreen', 'Trạm sạc Phạm Huy Thông', 10.8381, 106.6781),
('cs-vn-1145', '118 Cây Trâm, Phường 9', 'Gò Vấp', 0, 'cpo-datbike', 'Trạm sạc Công Viên Làng Hoa', 10.8405, 106.6521),
('cs-vn-1146', '35 Phạm Văn Chiêu, Phường 14', 'Gò Vấp', 1, 'cpo-vgreen', 'Trạm sạc Chợ Thạch Đà', 10.8485, 106.6505),
('cs-vn-1147', '299 Phan Huy Ích, Phường 12', 'Gò Vấp', 1, 'cpo-eboost', 'Trạm sạc Phan Huy Ích', 10.8355, 106.6401),
('cs-vn-1148', '115 Lê Văn Thọ, Phường 11', 'Gò Vấp', 1, 'cpo-eboost', 'Trạm sạc Lê Văn Thọ', 10.8425, 106.6585),
('cs-vn-1149', '50 Nguyễn Kiệm, Phường 3', 'Gò Vấp', 1, 'cpo-datbike', 'Trạm sạc Big C Gò Vấp', 10.8151, 106.6801),
('cs-vn-1150', '25 Trương Đăng Quế, Phường 1', 'Gò Vấp', 1, 'cpo-vgreen', 'Trạm sạc Trương Đăng Quế', 10.8125, 106.6855),

-- KHU VỰC QUẬN 5
('cs-vn-1151', '126 Hồng Bàng, Phường 12', 'Quận 5', 1, 'cpo-vgreen', 'Trạm sạc Thuận Kiều Plaza', 10.7534, 106.6581),
('cs-vn-1152', '190 Hồng Bàng, Phường 12', 'Quận 5', 1, 'cpo-eboost', 'Trạm sạc Hùng Vương Plaza', 10.7551, 106.6627),
('cs-vn-1153', '215 Hồng Bàng, Phường 11', 'Quận 5', 1, 'cpo-eboost', 'Trạm sạc Bệnh Viện Đại Học Y Dược', 10.7558, 106.6645),
('cs-vn-1154', '227 Nguyễn Văn Cừ, Phường 4', 'Quận 5', 1, 'cpo-datbike', 'Trạm sạc Đại học Khoa Học Tự Nhiên', 10.7625, 106.6811),
('cs-vn-1155', '290 An Dương Vương, Phường 4', 'Quận 5', 0, 'cpo-vgreen', 'Trạm sạc Đại học Sư Phạm', 10.7611, 106.6801),
('cs-vn-1156', '68 Châu Văn Liêm, Phường 11', 'Quận 5', 1, 'cpo-datbike', 'Trạm sạc Châu Văn Liêm', 10.7515, 106.6585),
('cs-vn-1157', '190 Hải Thượng Lãn Ông, Phường 14', 'Quận 5', 1, 'cpo-vgreen', 'Trạm sạc Chợ Kim Biên', 10.7485, 106.6551),
